"Participant ID"," fff"
"Gender","Prefer not to say"
"Age",""
"Radius","54","74","46","138","139","65","191","210","49","146","141","184","193","131","154","151","164","154","64","122","35","73","88","126","176","152","67","207","91","197","189","156","49","188","217","200","67","108","97","181","77","121","68","121","177","85","39","173","21","165","151","193","102","196","153","192","44","123","38","26","134","156","60","215","88","71","169","23","104","172","73","111","72","88","105","138","26","167","125","179","208","202","213","159","192","80","175","177","75","99","104","68","74","176","32","182","183","92","213","108","146","188","51","213","22","218","195","204","208","151","90","143","157","113","143","205","82","216","195","209","188","117","153","76","82","155","98","192","65","42","61","203","89","63","59","209","162","208","96","30","163","30","129","95","27","68","96","56","119","109","56","104","67","39","75","101","122","104","220","208","196","125","111","159","134","23","179","79","146","217","54","137","113","74","20","100","192","86","77","198","169","143","179","207","40","217","210","104","54","189","167","149","48","217","193","74","69","215","41","160","99","151","199","179","34","93","176","48","211","154","27","211","112","202","58","31","86","179","192","134","124","107","72","155","83","177","112","104","152","125","84","59","145","32","47","162","107","210","115","150","56","200","116","183","204","53","106","112","218","100","163","185","152","149","202","87","43","55","122","167","152","109","131","84","139","87","141","57","187","63","128","69","44","68","122","107","161","210","132","218","162","193","27","102","192","183","27","190","181","117","66","51","137","149","168","64","127","201","208","57","73","177","53","78","185","172","163","164","135","76","127","194","33","177","194","188","44","91","76","37","113","154","98","65","99","55","61","203","125","61","202","82","180","69","156","90","168","206","102","190","68","106","207","39","121","42","158","29","172","53","43","176","36","41","25","49","50","30","82","66","156","30","156","153","112","123","86","33","83","30","214","188","167","31","22","216","61","48","148","50","217","184","54","211","117","82","199","117","158","144","141","202","138","189","184","184","78","104","112","137","138","176","24","114","218","62","69","53","93","35","216","148","139","66","35","210","27","34","168","126","145","53","97","51","53","59","200","104","39","133","59","85","176","205","162","49","69","112","208","72","45","140","116","90","154","197","90","64","60","140","164","58","21","163","78","38","167","44","137","89","192","106","111","74","70","34","49","64","141","214","34","189","127","21","156","33","209","73","164","134","183","106","200","90","197","206","150","168","135","105","205","45","63","122","25","63","183","184","73","202"
"MaxRadius","220"
"MaxIdx","158"
"Validation Code","117790"
"Date","12_6_2019"
"Total ExperimentTime","0.5584333333333333"
"Final Size","138"
"Trial Num","4"
"Strategy",""
"Problems","No"
"Comment",""
"Device","Desktop or Laptop"
"Similar","No"

