"Participant ID","iggy"
"Gender","Male"
"Age",""
"Radius","88","153","50","218","115","26","68","66","54","179","34","156","90","137","164","134","99","39","126","21","59","175","198","100","89","148","165","49","188","154","145","141","112","214","210","72","203","41","196","90","60","131","128","158","109","36","90","217","134","95","216","96","164","147","178","195","202","150","147","22","60","199","119","109","160","30","79","119","113","28","158","78","21","87","218","69","110","149","127","30","122","43","215","69","184","158","213","165","207","176","196","124","147","21","76","99","31","131","153","144","92","138","40","69","196","195","48","40","44","48","116","35","216","184","151","25","46","24","128","172","174","216","59","69","194","194","212","47","41","68","28","206","217","174","206","48","25","187","129","176","67","31","40","141","98","186","49","121","107","170","96","76","106","132","208","126","207","72","31","21","177","80","109","106","95","215","179","179","126","110","143","111","98","173","151","50","48","81","87","152","91","138","111","189","58","186","132","197","89","38","33","74","63","125","204","150","137","121","107","145","58","52","181","33","148","163","89","199","134","86","200","198","143","59","182","215","70","87","46","145","91","109","99","202","63","200","95","183","167","34","27","64","120","59","129","28","41","201","52","192","154","40","67","150","67","195","64","84","127","178","50","93","78","183","113","71","127","157","57","23","171","33","118","205","213","220","200","30","169","64","68","113","217","217","24","214","138","219","85","102","52","216","130","128","26","70","148","122","49","88","97","97","153","128","200","196","212","70","91","108","139","56","47","102","25","117","103","42","170","29","54","112","210","154","78","58","28","134","164","118","79","58","148","126","97","137","152","113","128","200","64","168","98","142","49","169","56","167","159","168","177","108","182","82","199","172","175","187","134","62","137","44","62","112","55","74","139","197","177","133","204","168","133","133","123","186","145","84","91","195","155","147","213","118","44","98","76","41","163","185","68","124","127","69","188","153","106","218","30","123","87","105","156","126","60","60","212","209","178","164","56","58","117","92","218","49","44","45","138","216","171","56","189","47","203","166","23","68","38","152","76","100","39","125","214","110","35","126","189","205","110","42","130","72","200","157","136","40","205","27","105","189","162","125","157","134","139","220","217","115","175","209","84","121","96","78","183","194","104","94","102","99","202","42","76","43","134","42","117","130","130","156","59","216","23","168","40","92","112","61","43","109","104","145","161","214","34","132","74","134","62","56","56","105","215","152","28","112","105","134"
"MaxRadius","220"
"MaxIdx","265"
"Validation Code","149372"
"Date","12_6_2019"
"Total ExperimentTime","1.9170833333333335"
"Final Size","156"
"Trial Num","12"
"Strategy","af"
"Problems","No"
"Comment",""
"Device","Desktop or Laptop"
"Similar","No"

