"Participant ID","this shall work2"
"Gender","Female"
"Age",""
"Radius","24","152","90","56","213","105","201","203","133","95","190","173","40","159","135","113","64","209","123","93","150","57","56","107","62","46","182","119","26","85","215","29","148","132","67","195","198","123","89","37","106","53","219","205","155","185","83","141","55","102","31","74","146","122","123","85","122","107","149","220","169","52","52","110","40","207","102","81","169","88","91","105","84","148","27","174","186","179","85","34","171","220","78","176","51","220","52","179","61","35","82","179","47","173","130","164","141","112","150","29","183","203","93","67","111","122","124","63","118","191","193","101","213","180","210","153","94","78","136","69","195","141","82","139","195","189","168","136","208","134","166","62","120","174","94","79","118","22","131","189","220","138","58","129","209","97","166","192","131","167","47","178","52","179","170","126","66","32","62","168","204","42","148","101","126","177","115","102","73","197","50","164","78","142","166","61","81","203","103","41","97","32","60","144","45","52","86","153","111","192","43","106","48","93","170","186","163","220","60","176","157","52","214","203","126","52","52","190","119","98","102","126","68","74","109","132","31","76","146","190","207","73","195","90","76","54","215","190","135","177","74","63","92","102","136","149","29","33","198","53","197","149","191","114","43","215","154","60","215","95","109","71","51","185","98","79","160","93","35","76","28","96","169","132","214","179","137","176","22","179","128","61","32","46","205","50","164","214","174","175","126","210","69","38","138","150","216","83","207","53","161","191","45","87","91","219","67","186","105","156","70","145","135","150","156","125","118","150","35","77","73","217","209","200","208","150","92","149","118","178","38","102","148","81","142","77","105","77","41","34","97","155","76","179","149","203","53","141","45","180","209","154","66","133","107","85","172","88","153","32","211","22","57","172","70","128","135","51","120","197","42","39","181","89","203","114","130","138","185","195","120","68","47","120","69","71","72","55","75","99","96","100","155","87","180","27","145","175","135","177","72","133","69","57","51","187","84","166","212","30","137","214","218","179","70","85","52","95","74","105","146","23","196","71","219","36","30","56","178","189","100","192","172","42","121","60","31","170","191","138","112","164","126","142","196","171","139","101","219","33","101","111","144","175","80","116","108","134","49","189","167","29","85","179","77","57","151","142","180","123","120","33","159","36","182","77","96","209","147","22","78","209","216","179","38","85","217","217","38","205","130","164","133","38","184","189","188","22","200","34","204","166","206","23","204","37","27","104","179","209"
"MaxRadius","220"
"MaxIdx","59"
"Validation Code","174626"
"Date","12_6_2019"
"Total ExperimentTime","1.0609666666666666"
"Final Size","201"
"Trial Num","7"
"Strategy",""
"Problems","No"
"Comment",""
"Device","Desktop or Laptop"
"Similar","No"

