"Participant ID","this shall work"
"Gender","Male"
"Age",""
"Radius","171","38","184","63","150","167","50","207","148","191","178","78","107","26","119","191","155","191","206","43","127","56","160","72","200","220","84","29","189","94","21","136","52","111","63","41","45","193","106","208","173","108","159","127","98","115","26","25","127","149","95","59","187","46","29","116","157","216","86","192","155","65","59","65","175","68","129","97","126","85","133","70","57","59","146","123","22","83","157","131","174","48","89","120","169","40","203","169","64","113","180","138","69","194","111","140","66","31","98","171","195","130","126","192","40","210","167","45","131","198","113","28","183","25","145","77","180","182","29","87","76","133","210","123","73","104","33","210","196","155","85","124","39","97","49","102","75","122","197","117","175","47","205","54","105","93","39","41","141","54","36","142","104","94","188","77","200","138","201","162","158","103","138","166","152","108","136","86","25","166","40","207","37","61","55","177","143","46","163","187","20","94","90","149","39","134","40","24","109","214","142","81","83","100","201","76","88","149","30","197","27","129","177","37","175","63","218","26","45","178","26","175","183","199","50","193","139","189","159","182","37","112","54","96","166","82","100","22","125","33","171","92","83","176","174","171","43","105","144","21","206","59","168","43","71","39","95","73","150","32","177","183","186","147","220","69","157","63","122","95","205","112","214","55","76","194","112","125","61","147","66","212","91","209","184","190","98","33","140","22","74","206","196","196","181","207","148","106","75","156","181","90","180","198","201","136","109","174","173","82","157","49","213","143","133","69","98","194","77","23","174","104","44","60","32","179","51","109","83","167","159","162","218","163","58","64","146","186","170","48","150","128","154","149","116","125","131","183","44","180","200","200","37","43","39","124","166","38","28","27","190","76","139","174","165","32","197","139","51","193","67","91","108","45","168","171","148","149","186","117","122","118","26","217","165","160","42","37","122","70","156","94","184","149","39","135","195","100","24","150","54","193","72","163","183","56","74","213","165","97","55","46","82","166","113","40","105","209","101","68","74","185","135","186","175","168","166","89","101","175","87","198","205","218","178","161","47","195","153","169","213","145","120","117","137","114","130","57","62","23","158","96","23","37","173","197","129","219","198","20","212","210","106","189","116","137","184","82","55","28","55","44","147","44","83","49","111","173","57","92","73","55","217","73","196","206","173","153","31","201","77","134","137","145","148","176","76","116","149","71","71","57","214","187","49","216","32","218","217","49"
"MaxRadius","220"
"MaxIdx","25"
"Validation Code","159776"
"Date","12_6_2019"
"Total ExperimentTime","0.8167666666666666"
"Final Size","178"
"Trial Num","11"
"Strategy","Bu"
"Problems","No"
"Comment",""
"Device","Desktop or Laptop"
"Similar","No"

